Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
AAL ,0,0.296,-0.296,3892,-0.027243189,-850,0.151761518,8535,0.038321168,3.992261393,—,0,0,0,0,24855,0.036532,—,0,1163,0.04679139,22.73469388,-1876,-0.075477771,-0.052046488,2.7672,-1.248453451,1285,0.729475101,-1888,0.16976456,-603,-0.307692308,#VALUE!,-0.079226,-1.768497,0.166314,0.005955,#VALUE!,—,0.4183,0.7601,0.5391,0.6806,#VALUE!,#N/A N/A,#N/A N/A,1.049664259,#N/A N/A,#N/A N/A,0,1557.481752,0.005954536,632,0.234177215,#N/A N/A,592,#VALUE!
CAH ,0.110703873,0.296,-0.185296127,2274,0.178665837,0,0,2894,0.15667466,0.292867265,15026,0.139709164,7.097779877,16.45783133,-0.090417225,107552,0.047814,4541,0.042221437,2117,0.019683502,0.158730159,1069,0.009939378,0.114702815,3.2033,0.200277278,1176,-0.156989247,-263,-0.096219931,913,-0.173007246,0.176802,0.045387,#VALUE!,0.122814,0.016662,0.127777,6.685,0.1604,1.2354,0.6088,4.4715,0.077409713,4615965.665,2526.84083,4.566391896,46.34849455,0.134725528,0,31.66994966,0.016661708,#N/A N/A,#N/A N/A,13.11161795,10698,0.076268238
CELG ,1.101716586,0.296,0.805716586,3900.27,0.472825976,0,0,3079.792,0.708841466,-0.404198456,32117.45,5.832417633,15.8222691,17.28450772,0.117961384,5506.713,0.137264,5207.589,0.945680118,2029.889,0.368620809,0.124216052,1456.18,0.264437242,0.104714941,1.9338,0.305474921,2018.553,0.116033472,-160.389,0.213973766,1858.164,0.10831545,0.259865,0.133962,0.187817,0.169044,0.317148,0.259865,6.3489,2.3075,3.2739,2.8758,12.5854,0.076724417,1171641.064,989.0621519,0.506592299,54.08393797,6.140658082,0.313100755,35.10030876,0.317147816,63.205,27.63138992,20.28903668,9788.354,0.049287702
CERN ,0.459347607,0.296,0.163347607,1036.785,0.338165236,0,-1,196.139,0.549979059,-1.058425518,12251.9118,4.59658825,15.42591779,23.34208789,0.258181879,2665.436,0.209828,2057.239,0.77182082,794.242,0.297978267,0.181285454,397.232,0.149030778,0.295489308,1.1217,0.274659091,708.314,0.29658023,-183.429,0.750360227,524.885,0.18887019,0.154435,0.118491,0.146569,0.14489,0.214472,0.154435,11.8705,1.7872,3.0865,2.7321,3.8615,0.098951902,223986.2185,53.44767609,0.795079842,6.921779331,4.878898777,0.11306593,6.473685131,0.214472229,5.068,112.7983425,33.91353653,2960.704,0.029486751
CINF ,0.337334014,0.296,0.041334014,487,0.111872146,0,0,931,0.006486486,0,6827.08,1.660685964,0,10.80234177,0.259255707,4111,0.080989,—,0,—,0,0,421,0.102408173,1.567073171,2.7411,1.133483811,638,1.582995951,-6,-0.142857143,632,1.633333333,0.080298,0.026163,0.074731,0.042648,0.150815,0.030135,—,—,—,—,106.3333,0.079960623,1013310.328,-465.8050789,0.255476494,17.07317073,1.547958317,#VALUE!,14.58333333,#VALUE!,54,#N/A N/A,14.28631363,15888,0.069997063
DHI ,-0.051916272,0.296,-0.347916272,1345.7,0.306251213,-46.7,0.010822511,2305.3,0.451608841,3.604808415,7531.297,1.729742076,28.29187453,-23.0314893,1.235649011,4354,0.197206,867.8,0.199310978,266.2,0.061139182,2.452658885,956.3,0.219637115,12.3189415,0.7691,1.913257576,-293.4,-16.52380952,-33.6,1.061349693,-327,-126.7692308,0.307853,0.151714,0.192183,0.201826,0.056821,0.292465,2.8719,1.1597,4.804,1.1597,-8.7321,0.098496538,1252228.933,371.5641623,0.69074929,64.1305255,1.506847152,0,39.07288136,0.056821314,23.6,10.48305085,26.81660562,5900,0.037290327
FLS ,0.530176298,0.296,0.234176298,304.252,-0.098127794,4.256,-0.494356659,928.594,0.83801384,0.815012558,7694.816,1.619504733,10.04476981,20.16508775,0.39141205,4751.339,0.053465,1580.951,0.332737992,766.052,0.161228656,0.083330151,448.339,0.094360558,0.04609853,2.7992,0.073518696,517.13,1.369840477,-135.539,0.255374327,381.591,2.461268436,0.215546,0.095052,0.172256,0.169176,0.138661,0.17935,4.8131,0.1913,1.7227,0.8852,3.8154,0.12507594,279490.5294,46.96843401,1.007325539,49.0159015,1.615364511,0.008187166,32.89306779,0.138661123,43.52,15.13846507,17.48122465,2981.626,0.05720423
EA ,0.013857825,0.296,-0.282142175,1849,-0.17344658,0,0,539,0,-5.219123506,3965.2,0.957084238,15.79760956,37.76380952,-0.070617768,4143,0.154361,2545,0.614289162,251,0.060584118,-2.901515152,76,0.018344195,-1.275362319,0.5898,-3.091489362,277,-0.134375,-172,1.915254237,105,-0.597701149,0.030267,0.014589,0.032009,0.028677,0.008448,0.030267,2.4724,0.8722,1.2307,1.0448,1.6105,0.112449518,450326.087,-290.5252017,0.795277858,21.92839707,1.31704924,0.284817765,17.98465132,0.008447985,20,1.75,27.94915746,3215,0.035779254
EXPD ,0.098027086,0.296,-0.197972914,1260.981,-0.025785024,4.871,-0.242575027,0,0,-2.209386794,6906.6941,1.152611196,12.10133914,21.41610574,-0.066125982,5992.215,-0.02748,1835.37,0.306292414,570.738,0.095246582,-0.128781276,333.36,0.055632183,-0.135654262,1.57,-0.122905028,370.126,-0.190328374,-47.626,-0.39030916,322.5,-0.149112439,0.165384,0.114538,0.164729,0.152601,0.088581,0.107209,9.586,1.4966,2.7981,2.7207,7.7715,0.115864356,436495.8479,89.98611023,2.058843639,0,1.388839932,#VALUE!,0,0.088581268,0,#N/A N/A,25.1910828,2122.953,0.039696587
FAST ,0.019084762,0.296,-0.276915238,79.965,-0.447911848,0,0,0,0,-0.109880823,13754.7634,4.389476755,18.90057809,53.33660377,0.080381923,3133.577,0.132539,1614.524,0.515233549,727.743,0.232240344,0.175077303,420.536,0.134203181,0.174914578,1.42,0.173553719,396.292,0.476008328,-138.406,0.152970186,257.886,0.737237783,0.278562,0.240253,0.278562,0.270691,0.214991,0.035363,37.2702,0.3917,6.3018,2.2144,2.8633,0.105758335,206905.0512,265.1885369,1.790216466,0,4.407918443,0,0,0.214991047,0,#N/A N/A,32.85211268,1610.313,0.030439443
XEL ,0.067513106,0.296,-0.228486894,82.323,0.356584932,0,-1,11004.06,0.08655943,3.806761923,23955.1486,2.365187714,8.349546189,-41.27337363,0.022930514,10128.223,-0.049419,5594.282,0.552345856,2869.036,0.283271409,0.0278284,905.229,0.089376883,0.084914751,1.85,0.075581395,2004.756,-0.166602509,-2585.158,0.172105858,-580.402,-3.902663099,0.104311,0.029857,0.066691,0.055832,0.179961,0.043933,0.9658,0.028,0.8938,0.4984,0.7755,0.043968445,918409.7751,-368.4603662,0.334055571,124.0023047,1.286680032,#VALUE!,55.35760217,0.179960789,566.237,3.218940126,14.43783784,23649.122,0.069262449
MTB ,0.203764354,0.296,-0.092235646,2116.56,0.316795211,872.5,0.009154681,5682.24,-0.239152965,0,—,0,0,0,0,4608.955,0.053476,—,0,—,0,0,953.39,0.206856001,0.219569603,7.5875,0.214816357,499.981,-0.717882845,-91.519,0.307264884,408.462,-0.76004413,0.107505,0.012794,0.063112,0.077104,0.363948,0.067152,—,—,—,—,5.4631,0.079676274,319977.4368,172.7457121,0.057277904,55.69407699,2.689075524,#VALUE!,35.77148088,#VALUE!,#N/A N/A,#N/A N/A,12.97796869,15973.437,0.077053661
FISV ,0.437259575,0.296,0.141259575,358,0.06231454,0,0,3230,-0.048600884,2.054363376,13418.5535,3.024921889,9.598393062,21.19834676,0.188800391,4436,0.034274,1872,0.422001803,1398,0.315148783,0.047191011,611,0.1377367,0.294491525,1.0833,0.125272671,826,-0.125925926,-193,0.015789474,633,-0.161589404,0.183071,0.071693,0.109135,0.098531,0.236249,0.183071,9.366,0.324,1.3059,0.9222,4.2798,0.083151743,221800,161.5978394,0.520504547,94.52736318,2.419358431,0,48.59335038,0.236248873,174,6.022988506,18.23821981,7150,0.054829913
FITB ,0.341447317,0.296,0.045447317,4862,0.094059406,446,-0.004464286,14266,0.075299616,0,—,0,0,0,0,7106,0.064888,—,0,—,0,0,1541,0.216858992,0.408592322,1.6768,0.350515464,2557,0.080726965,-488,0.291005291,2069,0.040744467,0.117989,0.013196,0.057711,0.063003,0.335153,0.093105,—,—,—,—,5.2398,0.064054568,341667.468,140.2473998,0.059499039,103.6471956,1.934599414,#VALUE!,50.89546914,#VALUE!,#N/A N/A,#N/A N/A,9.064799,30727,0.110316842
